id_riesgo,id_proyecto,categoria_riesgo,probabilidad,impacto,severidad,estado,fecha_identificacion,fecha_cierre,responsable
R001,PJT09,Aplicaciones,2,4,8,Abierto,2024-01-30,,Coordinador TI
R002,PJT02,Aplicaciones,5,1,5,Abierto,2024-02-04,,Coordinador TI
R003,PJT02,Seguridad,2,4,8,Abierto,2024-01-14,,Líder Seguridad
R004,PJT01,Seguridad,4,1,4,Cerrado,2024-01-17,2024-02-20,Líder Seguridad
R005,PJT07,Procesos,4,2,8,Abierto,2024-01-14,,Coordinador TI
R006,PJT10,Procesos,1,3,3,Abierto,2024-02-07,,Líder Seguridad
R007,PJT09,Procesos,2,1,2,Cerrado,2024-01-06,2024-01-22,Coordinador TI
R008,PJT10,Datos,2,4,8,Abierto,2024-02-26,,Líder Infraestructura
R009,PJT04,Procesos,5,1,5,Mitigado,2024-01-27,2024-03-05,Líder Seguridad
R010,PJT05,Seguridad,3,2,6,Abierto,2024-01-09,,Líder Infraestructura
R011,PJT05,Aplicaciones,3,1,3,Abierto,2024-02-09,,Líder Infraestructura
R012,PJT02,Datos,5,2,10,Mitigado,2024-01-09,2024-02-05,Coordinador TI
R013,PJT04,Infraestructura,3,2,6,Abierto,2024-02-04,,Líder Infraestructura
R014,PJT05,Procesos,5,1,5,Mitigado,2024-02-05,2024-02-29,Líder Infraestructura
R015,PJT02,Seguridad,3,1,3,Cerrado,2024-02-17,2024-03-28,Coordinador TI
R016,PJT05,Infraestructura,5,2,10,Mitigado,2024-01-14,2024-02-04,Líder Infraestructura
R017,PJT08,Infraestructura,1,1,1,Mitigado,2024-02-23,2024-03-16,Coordinador TI
R018,PJT01,Infraestructura,2,3,6,Abierto,2024-01-29,,Líder Infraestructura
R019,PJT07,Procesos,1,1,1,Abierto,2024-02-26,,Líder Infraestructura
R020,PJT03,Procesos,1,3,3,Mitigado,2024-01-10,2024-02-11,Coordinador TI
